	index	score	token	sentence	model	dimension	pos_tag	sentiment	rsv	word
0	0	0.024645881727337837	79648	0	7	negros		NEU	10	católicos
1	1	0.024427257478237152	60614	0	7	negros		NEU	9	negros
2	2	0.023979613557457924	36462	0	7	negros		NEU	8	blancos
3	3	0.020258713513612747	35801	0	7	negros		NEU	7	populares
4	4	0.01974259503185749	72499	0	7	negros		NEU	6	cristianos
5	5	0.015643779188394547	78663	0	7	negros		NEU	5	musulmanes
6	6	0.013486115261912346	64440	0	7	negros		NEG	4	pobres
7	7	0.011209052987396717	24826	0	7	negros		NEU	3	sociales
8	8	0.010503137484192848	97512	0	7	negros		NEG	2	esclavos
9	9	0.010071022436022758	10104	0	7	negros		NEU	1	de
0	0	0.17516843974590302	60614	1	7	negros		NEU	10	negros
1	1	0.16880778968334198	36462	1	7	negros		NEU	9	blancos
2	2	0.02309282496571541	35801	1	7	negros		NEU	8	populares
3	3	0.010633721947669983	64440	1	7	negros		NEG	7	pobres
4	4	0.010245952755212784	79648	1	7	negros		NEU	6	católicos
5	5	0.008502524346113205	81646	1	7	negros		NEU	5	rurales
6	6	0.00833810307085514	55857	1	7	negros		NEU	4	asiáticos
7	7	0.007830488495528698	56668	1	7	negros		NEU	3	conocidos
8	8	0.007447388488799334	42078	1	7	negros		NEU	2	comunes
9	9	0.007374873384833336	24826	1	7	negros		NEU	1	sociales
0	0	0.07190613448619843	15993	2	7	negros		NEG	10	unos
1	1	0.06423354893922806	12525	2	7	negros		NEG	9	otros
2	2	0.04176397994160652	37075	2	7	negros		NEG	8	pocos
3	3	0.029500454664230347	21879	2	7	negros		NEG	7	hombres
4	4	0.026600146666169167	51412	2	7	negros		NEG	6	mismos
5	5	0.019737165421247482	29097	2	7	negros		NEU	5	amigos
6	6	0.019302841275930405	16169	2	7	negros		NEG	4	ellos
7	7	0.015204704366624355	10182	2	7	negros		NEG	3	los
8	8	0.014726914465427399	10104	2	7	negros		NEG	2	de
9	9	0.014516512863337994	10543	2	7	negros		NEG	1	más
0	0	0.05685776472091675	36462	3	7	negros		NEU	10	blancos
1	1	0.03974251076579094	78663	3	7	negros		NEU	9	musulmanes
2	2	0.025236062705516815	60614	3	7	negros		NEG	8	negros
3	3	0.023441238328814507	64440	3	7	negros		NEG	7	pobres
4	4	0.02315429225564003	81646	3	7	negros		NEU	6	rurales
5	5	0.018938884139060974	12206	3	7	negros		NEU	5	población
6	6	0.01849457249045372	10104	3	7	negros		NEU	4	de
7	7	0.017079532146453857	79648	3	7	negros		NEU	3	católicos
8	8	0.015498782508075237	110	3	7	negros		NEU	2	%
9	9	0.015454075299203396	72499	3	7	negros		NEU	1	cristianos
0	0	0.31566786766052246	36462	4	7	negros		NEU	10	blancos
1	1	0.22794172167778015	60614	4	7	negros		NEU	9	negros
2	2	0.0393538773059845	78663	4	7	negros		NEU	8	musulmanes
3	3	0.02654087543487549	55857	4	7	negros		NEU	7	asiáticos
4	4	0.025729328393936157	61991	4	7	negros		NEU	6	afroamericanos
5	5	0.01475363690406084	61273	4	7	negros		NEU	5	ciudadanos
6	6	0.011547695845365524	79648	4	7	negros		NEU	4	católicos
7	7	0.010291852988302708	53548	4	7	negros		NEU	3	hispanos
8	8	0.009764643386006355	78169	4	7	negros		NEU	2	residentes
9	9	0.007225674577057362	80385	4	7	negros		NEU	1	isleños
0	0	0.1572185605764389	36462	5	7	negros		NEU	10	blancos
1	1	0.09088366478681564	60614	5	7	negros		NEU	9	negros
2	2	0.026767035946249962	55857	5	7	negros		NEU	8	asiáticos
3	3	0.02112102322280407	15114	5	7	negros		NEU	7	principalmente
4	4	0.021000010892748833	81646	5	7	negros		NEU	6	rurales
5	5	0.019927114248275757	64440	5	7	negros		NEG	5	pobres
6	6	0.016954652965068817	78169	5	7	negros		NEU	4	residentes
7	7	0.016242166981101036	78663	5	7	negros		NEU	3	musulmanes
8	8	0.011907355859875679	35801	5	7	negros		NEU	2	populares
9	9	0.011107188649475574	79648	5	7	negros		NEU	1	católicos
0	0	0.2851729989051819	60614	6	7	negros		NEG	10	negros
1	1	0.16666735708713531	36462	6	7	negros		NEU	9	blancos
2	2	0.10787506401538849	78663	6	7	negros		NEU	8	musulmanes
3	3	0.05350327491760254	61991	6	7	negros		NEU	7	afroamericanos
4	4	0.04501913860440254	79648	6	7	negros		NEU	6	católicos
5	5	0.02526905946433544	72499	6	7	negros		NEU	5	cristianos
6	6	0.018413301557302475	53548	6	7	negros		NEU	4	hispanos
7	7	0.011579173617064953	55857	6	7	negros		NEU	3	asiáticos
8	8	0.006874179933220148	31481	6	7	negros		NEU	2	negro
9	9	0.005702418275177479	10104	6	7	negros		NEU	1	de
0	0	0.11894749104976654	36462	7	7	negros		NEU	10	blancos
1	1	0.0826176255941391	41300	7	7	negros		NEU	9	jóvenes
2	2	0.06528926640748978	60614	7	7	negros		NEG	8	negros
3	3	0.06244054436683655	35801	7	7	negros		NEU	7	populares
4	4	0.04333461821079254	56668	7	7	negros		NEU	6	conocidos
5	5	0.034627944231033325	99702	7	7	negros		POS	5	ricos
6	6	0.027009502053260803	64440	7	7	negros		NEG	4	pobres
7	7	0.024556059390306473	42078	7	7	negros		NEU	3	comunes
8	8	0.02103327587246895	15828	7	7	negros		POS	2	importantes
9	9	0.015746798366308212	39065	7	7	negros		NEU	1	pequeños
0	0	0.18860284984111786	100039	8	7	negros		NEG	10	inmigrantes
1	1	0.05425595864653587	64440	8	7	negros		NEG	9	pobres
2	2	0.041748642921447754	36462	8	7	negros		NEG	8	blancos
3	3	0.03833402320742607	15828	8	7	negros		POS	7	importantes
4	4	0.03284347429871559	99702	8	7	negros		POS	6	ricos
5	5	0.02751278690993786	39065	8	7	negros		NEU	5	pequeños
6	6	0.023282891139388084	55857	8	7	negros		NEU	4	asiáticos
7	7	0.022873619571328163	10104	8	7	negros		NEU	3	de
8	8	0.02043013647198677	12173	8	7	negros		NEU	2	habitantes
9	9	0.019946008920669556	60614	8	7	negros		NEG	1	negros
0	0	0.24831002950668335	36462	9	7	negros		NEG	10	blancos
1	1	0.10241539031267166	64440	9	7	negros		NEG	9	pobres
2	2	0.08291786909103394	60614	9	7	negros		NEG	8	negros
3	3	0.058392997831106186	99702	9	7	negros		POS	7	ricos
