	index	score	token	sentence	model	dimension	pos_tag	sentiment	rsv	word
0	0	0.16857954859733582	10423	0	10	negros		NEU	10	negros
1	1	0.02886846475303173	9430	0	10	negros		NEG	9	iguales
2	2	0.018936535343527794	9245	0	10	negros		NEG	8	malos
3	3	0.017826557159423828	4174	0	10	negros		POS	7	buenos
4	4	0.017817344516515732	11461	0	10	negros		NEU	6	viejos
5	5	0.015512268990278244	10805	0	10	negros		NEU	5	blancos
6	6	0.014842805452644825	726	0	10	negros		NEG	4	todos
7	7	0.014232699759304523	13495	0	10	negros		NEG	3	peores
8	8	0.012962158769369125	9931	0	10	negros		POS	2	ricos
9	9	0.01128148753196001	8111	0	10	negros		NEG	1	pobres
0	0	0.23019763827323914	10423	1	10	negros		NEU	10	negros
1	1	0.02769109420478344	22354	1	10	negros		NEU	9	gays
2	2	0.02580810710787773	2792	1	10	negros		NEU	8	jóvenes
3	3	0.018065739423036575	8111	1	10	negros		NEG	7	pobres
4	4	0.016729138791561127	37722	1	10	negros		NEG	6	racistas
5	5	0.016367251053452492	10805	1	10	negros		NEU	5	blancos
6	6	0.016306301578879356	7382	1	10	negros		NEU	4	adolescentes
7	7	0.015501641668379307	1662	1	10	negros		NEU	3	niños
8	8	0.014970198273658752	1568	1	10	negros		NEU	2	mujeres
9	9	0.013945058919489384	21996	1	10	negros		NEU	1	jovenes
0	0	0.05580833926796913	1662	2	10	negros		NEG	10	niños
1	1	0.03247801586985588	679	2	10	negros		NEG	9	años
2	2	0.020157290622591972	3726	2	10	negros		NEU	8	tipos
3	3	0.01965785026550293	2792	2	10	negros		NEG	7	jóvenes
4	4	0.018313279375433922	4513	2	10	negros		NEG	6	ee
5	5	0.016251875087618828	18	2	10	negros		NEG	5	.
6	6	0.012386350892484188	21125	2	10	negros		NEG	4	asesinos
7	7	0.012217750772833824	1152	2	10	negros		NEU	3	días
8	8	0.011767481453716755	893	2	10	negros		NEG	2	personas
9	9	0.011579012498259544	1972	2	10	negros		NEU	1	minutos
0	0	0.050832487642765045	10423	3	10	negros		NEG	10	negros
1	1	0.035982776433229446	10571	3	10	negros		NEG	9	inmigrantes
2	2	0.032194118946790695	37722	3	10	negros		NEG	8	racistas
3	3	0.023578645661473274	1662	3	10	negros		NEU	7	niños
4	4	0.02228633128106594	10805	3	10	negros		NEU	6	blancos
5	5	0.02159254066646099	8111	3	10	negros		NEG	5	pobres
6	6	0.01833353005349636	19375	3	10	negros		NEU	4	latinos
7	7	0.01593373529613018	2157	3	10	negros		NEU	3	mayoría
8	8	0.01461700163781643	36761	3	10	negros		NEU	2	hispanos
9	9	0.014527630060911179	2792	3	10	negros		NEU	1	jóvenes
0	0	0.1584172248840332	10423	4	10	negros		NEU	10	negros
1	1	0.05173860117793083	2157	4	10	negros		NEU	9	mayoría
2	2	0.03145826607942581	10805	4	10	negros		NEU	8	blancos
3	3	0.021754808723926544	3222	4	10	negros		NEU	7	mayores
4	4	0.021465586498379707	9430	4	10	negros		NEU	6	iguales
5	5	0.02102344110608101	37722	4	10	negros		NEG	5	racistas
6	6	0.01882222853600979	8111	4	10	negros		NEG	4	pobres
7	7	0.015407768078148365	4138	4	10	negros		NEU	3	ciudadanos
8	8	0.014791485853493214	18332	4	10	negros		NEU	2	musulmanes
9	9	0.014523317106068134	21478	4	10	negros		NEG	1	minoría
0	0	0.06860607862472534	8901	5	10	negros		NEU	10	turistas
1	1	0.05169643461704254	2157	5	10	negros		NEU	9	mayoría
2	2	0.023737771436572075	10423	5	10	negros		NEU	8	negros
3	3	0.023228567093610764	34229	5	10	negros		NEU	7	millonarios
4	4	0.021914858371019363	3222	5	10	negros		NEU	6	mayores
5	5	0.018267694860696793	1404	5	10	negros		POS	5	millones
6	6	0.0175968948751688	8062	5	10	negros		NEU	4	extranjeros
7	7	0.016896450892090797	419	5	10	negros		NEU	3	más
8	8	0.011680792085826397	726	5	10	negros		NEG	2	todos
9	9	0.011447875760495663	1662	5	10	negros		NEU	1	niños
0	0	0.028873378410935402	1181	6	10	negros		NEU	10	ahora
1	1	0.018187908455729485	18	6	10	negros		NEG	9	.
2	2	0.01745368354022503	316	6	10	negros		NEG	8	los
3	3	0.016768530011177063	10423	6	10	negros		NEG	7	negros
4	4	0.01450866088271141	2208	6	10	negros		NEU	6	100
5	5	0.011652973480522633	9430	6	10	negros		NEG	5	iguales
6	6	0.010528051294386387	293	6	10	negros		NEG	4	que
7	7	0.008625525049865246	726	6	10	negros		NEG	3	todos
8	8	0.00826229341328144	1231	6	10	negros		NEU	2	hoy
9	9	0.006829910445958376	835	6	10	negros		NEU	1	…
0	0	0.07849828153848648	2792	7	10	negros		NEU	10	jóvenes
1	1	0.054833460599184036	1605	7	10	negros		POS	9	grandes
2	2	0.05292684957385063	19900	7	10	negros		NEG	8	caros
3	3	0.03485533222556114	8111	7	10	negros		NEG	7	pobres
4	4	0.030031735077500343	6390	7	10	negros		NEU	6	altos
5	5	0.028655825182795525	6571	7	10	negros		NEU	5	populares
6	6	0.025420289486646652	21996	7	10	negros		NEU	4	jovenes
7	7	0.023332595825195312	10578	7	10	negros		NEU	3	baratos
8	8	0.020889269188046455	8323	7	10	negros		NEG	2	bajos
9	9	0.01590949110686779	9931	7	10	negros		POS	1	ricos
0	0	0.0684167817234993	18	8	10	negros		NEU	10	.
1	1	0.05171683803200722	6390	8	10	negros		NEU	9	altos
2	2	0.04068664833903313	8323	8	10	negros		NEG	8	bajos
3	3	0.02473306842148304	19900	8	10	negros		NEG	7	caros
4	4	0.024174785241484642	1605	8	10	negros		POS	6	grandes
5	5	0.021622512489557266	8111	8	10	negros		NEG	5	pobres
6	6	0.021525893360376358	2792	8	10	negros		NEU	4	jóvenes
7	7	0.018620386719703674	6571	8	10	negros		NEU	3	populares
8	8	0.017213819548487663	16100	8	10	negros		NEU	2	vulnerables
9	9	0.015708420425653458	10578	8	10	negros		NEU	1	baratos
0	0	0.048897456377744675	19900	9	10	negros		NEG	10	caros
1	1	0.04196809232234955	6390	9	10	negros		NEU	9	altos
2	2	0.036562271416187286	16100	9	10	negros		NEU	8	vulnerables
3	3	0.0323600172996521	10578	9	10	negros		NEU	7	baratos
4	4	0.03048582375049591	8111	9	10	negros		NEG	6	pobres
5	5	0.0275949127972126	8323	9	10	negros		NEG	5	bajos
6	6	0.023822173476219177	6571	9	10	negros		NEU	4	populares
7	7	0.02044292725622654	1605	9	10	negros		POS	3	grandes
8	8	0.020366722717881203	19857	9	10	negros		NEG	2	violentos
9	9	0.01791130192577839	2792	9	10	negros		NEU	1	jóvenes
0	0	0.07467995584011078	19900	10	10	negros		NEG	10	caros
1	1	0.06100160628557205	37113	10	10	negros		NEU	9	visitados
2	2	0.05815054848790169	10578	10	10	negros		NEU	8	baratos
3	3	0.04033336788415909	6390	10	10	negros		NEU	7	altos
4	4	0.035055406391620636	43564	10	10	negros		NEU	6	buscados
5	5	0.03435944765806198	19112	10	10	negros		NEG	5	vendidos
6	6	0.034264322370290756	6571	10	10	negros		NEU	4	populares
7	7	0.025411799550056458	8323	10	10	negros		NEG	3	bajos
8	8	0.022674066945910454	1605	10	10	negros		POS	2	grandes
9	9	0.01880432851612568	22162	10	10	negros		NEU	1	reservados
0	0	0.13232995569705963	6390	11	10	negros		NEU	10	altos
1	1	0.07511132955551147	1247	11	10	negros		NEG	9	mal
2	2	0.04524385184049606	1775	11	10	negros		NEU	8	|
3	3	0.03247443586587906	2521	11	10	negros		NEU	7	alto
4	4	0.027096712961792946	263	11	10	negros		NEU	6	de
5	5	0.019843464717268944	8323	11	10	negros		NEG	5	bajos
6	6	0.015147870406508446	3657	11	10	negros		NEG	4	pocos
7	7	0.015030218288302422	1072	11	10	negros		NEG	3	poco
8	8	0.012235642410814762	2955	11	10	negros		NEG	2	difícil
9	9	0.01145123690366745	1619	11	10	negros		NEG	1	bajo
0	0	0.04657433182001114	3657	12	10	negros		NEG	10	pocos
1	1	0.030491428449749947	18	12	10	negros		NEG	9	.
2	2	0.029672792181372643	8789	12	10	negros		NEG	8	cuantos
3	3	0.020212983712553978	2208	12	10	negros		NEU	7	100
4	4	0.016970565542578697	1167	12	10	negros		POS	6	10
5	5	0.01630820520222187	1410	12	10	negros		NEG	5	20
