	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.08123720437288284	5351	0	10	españoles	NC	10	españoles
1	1	0.027358176186680794	1662	0	10	españoles	NC	9	niños
2	2	0.024592025205492973	419	0	10	españoles	RG	8	más
3	3	0.01785879209637642	2341	0	10	españoles	AQ	7	español
4	4	0.016883712261915207	1392	0	10	españoles	AQ	6	españa
5	5	0.016454974189400673	4830	0	10	españoles	AQ	5	menores
6	6	0.016091126948595047	3222	0	10	españoles	AQ	4	mayores
7	7	0.009999005123972893	1411	0	10	españoles	DP	3	nuestros
8	8	0.00936744175851345	9430	0	10	españoles	AQ	2	iguales
9	9	0.008444533683359623	8823	0	10	españoles	AQ	1	europeos
0	0	0.06800451874732971	5351	1	10	españoles	AQ	10	españoles
1	1	0.031798265874385834	44535	1	10	españoles	AQ	9	gitanos
2	2	0.029498137533664703	21996	1	10	españoles	NC	8	jovenes
3	3	0.02930125594139099	2792	1	10	españoles	AQ	7	jóvenes
4	4	0.022754669189453125	10423	1	10	españoles	AQ	6	negros
5	5	0.015802651643753052	17008	1	10	españoles	AQ	5	catalanes
6	6	0.015577355399727821	1662	1	10	españoles	NC	4	niños
7	7	0.015345434658229351	10571	1	10	españoles	AQ	3	inmigrantes
8	8	0.014551769942045212	8823	1	10	españoles	AQ	2	europeos
9	9	0.013943864032626152	8111	1	10	españoles	AQ	1	pobres
0	0	0.09458212554454803	1662	2	10	españoles	NC	10	niños
1	1	0.0707850530743599	2792	2	10	españoles	NC	9	jóvenes
2	2	0.03087381087243557	679	2	10	españoles	NC	8	años
3	3	0.024819541722536087	15475	2	10	españoles	NC	7	delincuentes
4	4	0.02146199531853199	2066	2	10	españoles	NC	6	países
5	5	0.018927937373518944	18	2	10	españoles	Fp	5	.
6	6	0.017666853964328766	5351	2	10	españoles	AQ	4	españoles
7	7	0.014927135780453682	10571	2	10	españoles	NC	3	inmigrantes
8	8	0.013540184125304222	7382	2	10	españoles	NC	2	adolescentes
9	9	0.012102863751351833	21125	2	10	españoles	NC	1	asesinos
0	0	0.10361070930957794	5351	3	10	españoles	AQ	10	españoles
1	1	0.032285261899232864	10571	3	10	españoles	NC	9	inmigrantes
2	2	0.030288496986031532	1392	3	10	españoles	AQ	8	españa
3	3	0.02307066135108471	2792	3	10	españoles	AQ	7	jóvenes
4	4	0.02091657929122448	8823	3	10	españoles	AQ	6	europeos
5	5	0.015451258048415184	4830	3	10	españoles	AQ	5	menores
6	6	0.014708373695611954	8062	3	10	españoles	AQ	4	extranjeros
7	7	0.012909245677292347	6390	3	10	españoles	AQ	3	altos
8	8	0.01155101228505373	3222	3	10	españoles	AQ	2	mayores
9	9	0.009995976462960243	19758	3	10	españoles	AQ	1	británicos
0	0	0.2774168848991394	5351	4	10	españoles	AQ	10	españoles
1	1	0.02393147349357605	1392	4	10	españoles	AQ	9	españa
2	2	0.01420594472438097	19758	4	10	españoles	AQ	8	británicos
3	3	0.012859472073614597	17008	4	10	españoles	AQ	7	catalanes
4	4	0.012564565986394882	8062	4	10	españoles	AQ	6	extranjeros
5	5	0.012521049939095974	4138	4	10	españoles	NC	5	ciudadanos
6	6	0.0114720044657588	2341	4	10	españoles	AQ	4	español
7	7	0.011464862152934074	8823	4	10	españoles	AQ	3	europeos
8	8	0.01144005823880434	9430	4	10	españoles	AQ	2	iguales
9	9	0.010167122818529606	42206	4	10	españoles	AQ	1	españoles
0	0	0.267566978931427	5351	5	10	españoles	AQ	10	españoles
1	1	0.16929270327091217	8901	5	10	españoles	NC	9	turistas
2	2	0.04982130602002144	8062	5	10	españoles	AQ	8	extranjeros
3	3	0.01995791308581829	8823	5	10	españoles	AQ	7	europeos
4	4	0.016789956018328667	2157	5	10	españoles	NC	6	mayoría
5	5	0.01303054392337799	42206	5	10	españoles	AQ	5	españoles
6	6	0.010362367145717144	14417	5	10	españoles	AQ	4	alemanes
7	7	0.009846162982285023	3222	5	10	españoles	AQ	3	mayores
8	8	0.009577272459864616	1392	5	10	españoles	AQ	2	españa
9	9	0.009572269394993782	14886	5	10	españoles	AQ	1	chinos
0	0	0.05333268269896507	5351	6	10	españoles	NC	10	españoles
1	1	0.035902976989746094	2583	6	10	españoles	AQ	9	gratis
2	2	0.02375967800617218	1181	6	10	españoles	RG	8	ahora
3	3	0.021310165524482727	18	6	10	españoles	Fp	7	.
4	4	0.016147315502166748	835	6	10	españoles	AQ	6	…
5	5	0.013559602200984955	2208	6	10	españoles	Z	5	100
6	6	0.011129364371299744	7206	6	10	españoles	AQ	4	libres
7	7	0.010501297190785408	12183	6	10	españoles	AQ	3	argentinos
8	8	0.00901678018271923	1411	6	10	españoles	DP	2	nuestros
9	9	0.008696363307535648	1392	6	10	españoles	AQ	1	españa
0	0	0.07200459390878677	10578	7	10	españoles	AQ	10	baratos
1	1	0.06624820083379745	19900	7	10	españoles	AQ	9	caros
2	2	0.053194474428892136	8323	7	10	españoles	AQ	8	bajos
3	3	0.04282901808619499	6571	7	10	españoles	AQ	7	populares
4	4	0.037424881011247635	6390	7	10	españoles	AQ	6	altos
5	5	0.03719048574566841	1605	7	10	españoles	AQ	5	grandes
6	6	0.035412728786468506	19112	7	10	españoles	AQ	4	vendidos
7	7	0.028876740485429764	2792	7	10	españoles	AQ	3	jóvenes
8	8	0.011752118356525898	18	7	10	españoles	Fp	2	.
9	9	0.011541232466697693	6001	7	10	españoles	AQ	1	fuertes
0	0	0.06358262896537781	19900	8	10	españoles	AQ	10	caros
1	1	0.05729150399565697	10578	8	10	españoles	AQ	9	baratos
2	2	0.04356425628066063	19112	8	10	españoles	AQ	8	vendidos
3	3	0.03640895336866379	8323	8	10	españoles	AQ	7	bajos
4	4	0.027523810043931007	1605	8	10	españoles	AQ	6	grandes
5	5	0.025817591696977615	6390	8	10	españoles	AQ	5	altos
6	6	0.02433953247964382	6571	8	10	españoles	AQ	4	populares
7	7	0.022212516516447067	18	8	10	españoles	Fp	3	.
8	8	0.016170015558600426	6197	8	10	españoles	AQ	2	económicos
9	9	0.012117425911128521	43564	8	10	españoles	AQ	1	buscados
0	0	0.07743391394615173	10578	9	10	españoles	AQ	10	baratos
1	1	0.06117773801088333	19900	9	10	españoles	AQ	9	caros
2	2	0.03378036990761757	8323	9	10	españoles	AQ	8	bajos
3	3	0.026033563539385796	6197	9	10	españoles	AQ	7	económicos
4	4	0.025980684906244278	19112	9	10	españoles	AQ	6	vendidos
5	5	0.025943072512745857	6571	9	10	españoles	AQ	5	populares
6	6	0.02478146180510521	1605	9	10	españoles	AQ	4	grandes
7	7	0.022038713097572327	6390	9	10	españoles	AQ	3	altos
8	8	0.017206165939569473	18	9	10	españoles	Fp	2	.
9	9	0.015719177201390266	16100	9	10	españoles	AQ	1	vulnerables
0	0	0.10870407521724701	10578	10	10	españoles	AQ	10	baratos
1	1	0.08624578267335892	19900	10	10	españoles	AQ	9	caros
2	2	0.03660048544406891	19112	10	10	españoles	AQ	8	vendidos
3	3	0.035232096910476685	37113	10	10	españoles	AQ	7	visitados
4	4	0.034532494843006134	6390	10	10	españoles	AQ	6	altos
5	5	0.030443506315350533	8323	10	10	españoles	AQ	5	bajos
6	6	0.01988590881228447	43564	10	10	españoles	AQ	4	buscados
7	7	0.01929433085024357	1605	10	10	españoles	AQ	3	grandes
8	8	0.016650449484586716	6571	10	10	españoles	AQ	2	populares
9	9	0.016321472823619843	12622	10	10	españoles	AQ	1	turísticos
0	0	0.15246905386447906	6390	11	10	españoles	AQ	10	altos
1	1	0.11751697212457657	614	11	10	españoles	RG	9	muy
2	2	0.027600904926657677	1072	11	10	españoles	RG	8	poco
3	3	0.02149450033903122	5351	11	10	españoles	NC	7	españoles
4	4	0.0208339374512434	1466	11	10	españoles	NC	6	gente
5	5	0.02018383890390396	763	11	10	españoles	RG	5	bien
6	6	0.019272873178124428	4174	11	10	españoles	AQ	4	buenos
7	7	0.016645656898617744	8111	11	10	españoles	AQ	3	pobres
8	8	0.016021352261304855	1605	11	10	españoles	AQ	2	grandes
9	9	0.012397637590765953	1662	11	10	españoles	AQ	1	niños
0	0	0.07103018462657928	18	12	10	españoles	Fp	10	.
1	1	0.027606016024947166	4513	12	10	españoles	NC	9	ee
2	2	0.016423435881733894	8789	12	10	españoles	PI	8	cuantos
3	3	0.015674402937293053	280	12	10	españoles	NC	7	m
4	4	0.013259438797831535	274	12	10	españoles	NC	6	s
5	5	0.0120270736515522	2208	12	10	españoles	Z	5	100
6	6	0.011762087233364582	2242	12	10	españoles	NC	4	euros
7	7	0.011096746660768986	354	12	10	españoles	NC	3	s
8	8	0.01065489836037159	7477	12	10	españoles	NC	2	ejemplos
9	9	0.01028340682387352	341	12	10	españoles	NC	1	b
0	0	0.08574602007865906	14475	0	10	franceses	NC	10	franceses
1	1	0.04379720240831375	14417	0	10	franceses	AQ	9	alemanes
2	2	0.03334280475974083	4174	0	10	franceses	AQ	8	buenos
3	3	0.02278398908674717	9430	0	10	franceses	AQ	7	iguales
4	4	0.020148854702711105	19900	0	10	franceses	AQ	6	caros
5	5	0.01648782379925251	1662	0	10	franceses	NC	5	niños
6	6	0.0157527606934309	18680	0	10	franceses	AQ	4	italianos
7	7	0.014012265019118786	2157	0	10	franceses	NC	3	mayoría
8	8	0.013622947968542576	11165	0	10	franceses	AQ	2	famosos
9	9	0.013437015935778618	17796	0	10	franceses	AQ	1	rusos
0	0	0.09272420406341553	2792	1	10	franceses	AQ	10	jóvenes
1	1	0.049005020409822464	1662	1	10	franceses	NC	9	niños
2	2	0.03110237792134285	21996	1	10	franceses	NC	8	jovenes
