	index	score	token	sentence	model	dimension	pos_tag	sentiment	rsv	word
0	0	0.049679774791002274	9168	0	4	españoles		NEG	10	malos
1	1	0.026291266083717346	10323	0	4	españoles		NEG	9	iguales
2	2	0.017669983208179474	6233	0	4	españoles		NEU	8	comunes
3	3	0.015162359923124313	5740	0	4	españoles		NEU	7	naturales
4	4	0.01513810083270073	5987	0	4	españoles		POS	6	buenos
5	5	0.014399227686226368	8109	0	4	españoles		NEU	5	fuertes
6	6	0.012496629729866982	12627	0	4	españoles		NEG	4	peligrosos
7	7	0.012384885922074318	14239	0	4	españoles		NEU	3	míos
8	8	0.011984751559793949	25837	0	4	españoles		NEG	2	inútiles
9	9	0.011933770030736923	3	0	4	españoles		NEU	1	[unk]
0	0	0.04251587763428688	10323	1	4	españoles		NEG	10	iguales
1	1	0.015417449176311493	9168	1	4	españoles		NEG	9	malos
2	2	0.014622473157942295	1506	1	4	españoles		NEU	8	así
3	3	0.014051583595573902	14239	1	4	españoles		NEU	7	míos
4	4	0.012350467965006828	5987	1	4	españoles		POS	6	buenos
5	5	0.012241874821484089	24035	1	4	españoles		POS	5	bienvenidos
6	6	0.01205186452716589	7620	1	4	españoles		NEU	4	reales
7	7	0.011221231892704964	2018	1	4	españoles		NEU	3	ellos
8	8	0.010368757881224155	15998	1	4	españoles		POS	2	suyos
9	9	0.01019967533648014	22398	1	4	españoles		POS	1	hermosos
0	0	0.03421560302376747	2330	2	4	españoles		NEG	10	niños
1	1	0.03283488750457764	18404	2	4	españoles		NEG	9	tontos
2	2	0.03123660385608673	17159	2	4	españoles		NEG	8	salvajes
3	3	0.030427895486354828	25837	2	4	españoles		NEG	7	inútiles
4	4	0.030226770788431168	11063	2	4	españoles		NEG	6	locos
5	5	0.02871953696012497	14088	2	4	españoles		NEG	5	idiotas
6	6	0.02659250609576702	17870	2	4	españoles		NEG	4	monstruos
7	7	0.019348248839378357	17241	2	4	españoles		NEG	3	ladrones
8	8	0.016726797446608543	8915	2	4	españoles		NEG	2	perros
9	9	0.01670384407043457	17219	2	4	españoles		NEG	1	cerdos
0	0	0.047770027071237564	12627	3	4	españoles		NEG	10	peligrosos
1	1	0.032078709453344345	24035	3	4	españoles		POS	9	bienvenidos
2	2	0.026082495227456093	8002	3	4	españoles		NEU	8	blancos
3	3	0.025768399238586426	6233	3	4	españoles		NEU	7	comunes
4	4	0.02230047807097435	10121	3	4	españoles		NEU	6	españoles
5	5	0.018718931823968887	8138	3	4	españoles		NEU	5	extranjeros
6	6	0.013470531441271305	19945	3	4	españoles		NEG	4	escasos
7	7	0.012962207198143005	10191	3	4	españoles		NEU	3	negros
8	8	0.012014922685921192	6528	3	4	españoles		NEU	2	europeos
9	9	0.01046080980449915	10323	3	4	españoles		NEG	1	iguales
0	0	0.04478271305561066	24035	4	4	españoles		POS	10	bienvenidos
1	1	0.02530011162161827	10323	4	4	españoles		NEG	9	iguales
2	2	0.022005613893270493	9168	4	4	españoles		NEG	8	malos
3	3	0.019845202565193176	10121	4	4	españoles		NEU	7	españoles
4	4	0.016461241990327835	12627	4	4	españoles		NEG	6	peligrosos
5	5	0.016341974958777428	8138	4	4	españoles		NEU	5	extranjeros
6	6	0.01294436864554882	8217	4	4	españoles		POS	4	libres
7	7	0.011822872795164585	2720	4	4	españoles		NEU	3	muchos
8	8	0.011259022168815136	5987	4	4	españoles		POS	2	buenos
9	9	0.011068611405789852	23745	4	4	españoles		POS	1	valientes
0	0	0.10203360766172409	24035	5	4	españoles		POS	10	bienvenidos
1	1	0.056460410356521606	16556	5	4	españoles		NEU	9	famosos
2	2	0.023498747497797012	12627	5	4	españoles		NEG	8	peligrosos
3	3	0.018033530563116074	15439	5	4	españoles		NEU	7	turistas
4	4	0.016405286267399788	8138	5	4	españoles		NEU	6	extranjeros
5	5	0.013667304068803787	2720	5	4	españoles		NEU	5	muchos
6	6	0.012304357253015041	5987	5	4	españoles		POS	4	buenos
7	7	0.00999368354678154	19945	5	4	españoles		NEG	3	escasos
8	8	0.009373149834573269	24089	5	4	españoles		NEU	2	desconocidos
9	9	0.009019048884510994	20089	5	4	españoles		NEG	1	raros
0	0	0.07040854543447495	9168	6	4	españoles		NEG	10	malos
1	1	0.05976630002260208	10323	6	4	españoles		NEG	9	iguales
2	2	0.03268040344119072	14239	6	4	españoles		NEU	8	míos
3	3	0.028527552261948586	5987	6	4	españoles		POS	7	buenos
4	4	0.020160211250185966	24035	6	4	españoles		POS	6	bienvenidos
5	5	0.015217509120702744	8002	6	4	españoles		NEU	5	blancos
6	6	0.014997566118836403	20380	6	4	españoles		NEU	4	tuyos
7	7	0.014603222720324993	2614	6	4	españoles		NEU	3	humanos
8	8	0.013145914301276207	1506	6	4	españoles		NEU	2	así
9	9	0.012458213604986668	14305	6	4	españoles		NEU	1	verdes
0	0	0.0900302529335022	3037	7	4	españoles		POS	10	grandes
1	1	0.0734616294503212	5408	7	4	españoles		NEU	9	pequeños
2	2	0.07234830409288406	8109	7	4	españoles		NEU	8	fuertes
3	3	0.04466620087623596	9378	7	4	españoles		NEU	7	viejos
4	4	0.02846159040927887	18557	7	4	españoles		NEG	6	duros
5	5	0.028223296627402306	22398	7	4	españoles		POS	5	hermosos
6	6	0.026768364012241364	4195	7	4	españoles		NEU	4	jóvenes
7	7	0.024707255885004997	23745	7	4	españoles		POS	3	valientes
8	8	0.021355507895350456	22182	7	4	españoles		NEG	2	crueles
9	9	0.01926979422569275	12627	7	4	españoles		NEG	1	peligrosos
0	0	0.0674041137099266	12627	8	4	españoles		NEG	10	peligrosos
1	1	0.0589388944208622	8109	8	4	españoles		NEU	9	fuertes
2	2	0.050754744559526443	5408	8	4	españoles		NEU	8	pequeños
3	3	0.048908401280641556	3037	8	4	españoles		POS	7	grandes
4	4	0.03201672434806824	7056	8	4	españoles		NEG	6	pobres
5	5	0.030797287821769714	3697	8	4	españoles		POS	5	importantes
6	6	0.02456868253648281	9378	8	4	españoles		NEG	4	viejos
7	7	0.020083244889974594	18557	8	4	españoles		NEG	3	duros
8	8	0.01762627623975277	8757	8	4	españoles		NEU	2	antiguos
9	9	0.01611422561109066	4195	8	4	españoles		NEU	1	jóvenes
0	0	0.06739440560340881	8109	9	4	españoles		NEU	10	fuertes
1	1	0.058045439422130585	23745	9	4	españoles		POS	9	valientes
2	2	0.04185428097844124	3697	9	4	españoles		POS	8	importantes
3	3	0.0405547209084034	3037	9	4	españoles		POS	7	grandes
4	4	0.03972112387418747	12627	9	4	españoles		NEG	6	peligrosos
5	5	0.03670315071940422	18968	9	4	españoles		NEU	5	poderosos
6	6	0.02948790043592453	9168	9	4	españoles		NEG	4	malos
7	7	0.027033310383558273	7056	9	4	españoles		NEG	3	pobres
8	8	0.02128855511546135	5408	9	4	españoles		NEU	2	pequeños
9	9	0.020698199048638344	10876	9	4	españoles		POS	1	felices
0	0	0.0732959657907486	3037	10	4	españoles		POS	10	grandes
1	1	0.06058765575289726	3697	10	4	españoles		POS	9	importantes
2	2	0.03722192719578743	5408	10	4	españoles		NEU	8	pequeños
3	3	0.0351746641099453	11384	10	4	españoles		NEU	7	populares
4	4	0.032284706830978394	8109	10	4	españoles		NEU	6	fuertes
5	5	0.028101757168769836	12627	10	4	españoles		NEG	5	peligrosos
6	6	0.02623654156923294	16556	10	4	españoles		NEU	4	famosos
7	7	0.02279035747051239	10876	10	4	españoles		POS	3	felices
8	8	0.022540999576449394	26583	10	4	españoles		POS	2	atractivos
9	9	0.018834806978702545	22398	10	4	españoles		POS	1	hermosos
0	0	0.06957519799470901	5987	11	4	españoles		POS	10	buenos
1	1	0.06908631324768066	9168	11	4	españoles		NEG	9	malos
2	2	0.06034493446350098	20089	11	4	españoles		NEG	8	raros
3	3	0.05306365340948105	8109	11	4	españoles		NEU	7	fuertes
4	4	0.05022260174155235	6233	11	4	españoles		NEG	6	comunes
5	5	0.03553353250026703	18557	11	4	españoles		NEG	5	duros
6	6	0.027612384408712387	12627	11	4	españoles		NEG	4	peligrosos
7	7	0.02612144686281681	5408	11	4	españoles		NEU	3	pequeños
8	8	0.02484987862408161	30316	11	4	españoles		NEG	2	caros
9	9	0.022310642525553703	3037	11	4	españoles		POS	1	grandes
0	0	0.03086899034678936	8840	12	4	españoles		NEG	10	peces
1	1	0.026472048833966255	6088	12	4	españoles		NEG	9	pocos
2	2	0.021039621904492378	8915	12	4	españoles		NEG	8	perros
3	3	0.01893695257604122	17870	12	4	españoles		NEG	7	monstruos
4	4	0.01761462353169918	25837	12	4	españoles		NEG	6	inútiles
5	5	0.016398947685956955	27724	12	4	españoles		NEG	5	conejos
6	6	0.01623467169702053	5987	12	4	españoles		POS	4	buenos
7	7	0.015407443046569824	17159	12	4	españoles		NEG	3	salvajes
8	8	0.015393518842756748	25756	12	4	españoles		NEG	2	gusanos
9	9	0.0153798284009099	14853	12	4	españoles		NEU	1	dulces
0	0	0.06844715774059296	10279	0	4	franceses		NEU	10	franceses
1	1	0.05080345645546913	15695	0	4	franceses		NEG	9	ingleses
2	2	0.033337779343128204	9224	0	4	franceses		NEG	8	alemanes
3	3	0.026670120656490326	10323	0	4	franceses		NEG	7	iguales
4	4	0.02619968168437481	15981	0	4	franceses		NEU	6	italianos
5	5	0.023480046540498734	12224	0	4	franceses		NEU	5	rusos
6	6	0.02327822521328926	10121	0	4	franceses		NEU	4	españoles
7	7	0.022785527631640434	17061	0	4	franceses		NEU	3	griegos
8	8	0.018208492547273636	7012	0	4	franceses		NEU	2	similares
9	9	0.01709935814142227	3	0	4	franceses		NEU	1	[unk]
0	0	0.03844676911830902	10279	1	4	franceses		NEU	10	franceses
1	1	0.02984089031815529	10323	1	4	franceses		NEG	9	iguales
2	2	0.017439832910895348	16556	1	4	franceses		NEU	8	famosos
3	3	0.015893859788775444	19828	1	4	franceses		NEU	7	pintores
4	4	0.012245964258909225	23707	1	4	franceses		NEU	6	gemelos
5	5	0.011832532472908497	15695	1	4	franceses		NEU	5	ingleses
6	6	0.011612260714173317	10169	1	4	franceses		NEU	4	conocidos
7	7	0.010963400825858116	10121	1	4	franceses		NEU	3	españoles
8	8	0.010935583151876926	19507	1	4	franceses		NEU	2	católicos
9	9	0.010797115042805672	24089	1	4	franceses		NEG	1	desconocidos
0	0	0.05626969784498215	2330	2	4	franceses		NEG	10	niños
1	1	0.03526617959141731	14088	2	4	franceses		NEG	9	idiotas
2	2	0.029012570157647133	18404	2	4	franceses		NEG	8	tontos
3	3	0.02759297378361225	17159	2	4	franceses		NEG	7	salvajes
4	4	0.024151494726538658	11063	2	4	franceses		NEG	6	locos
5	5	0.022286051884293556	25837	2	4	franceses		NEG	5	inútiles
6	6	0.020840032026171684	10323	2	4	franceses		NEG	4	iguales
7	7	0.020618030801415443	4195	2	4	franceses		NEG	3	jóvenes
8	8	0.019462373107671738	6088	2	4	franceses		NEG	2	pocos
9	9	0.01775047741830349	17241	2	4	franceses		NEG	1	ladrones
0	0	0.062105581164360046	15981	3	4	franceses		NEU	10	italianos
1	1	0.060354478657245636	8138	3	4	franceses		NEG	9	extranjeros
2	2	0.05846337974071503	10279	3	4	franceses		NEU	8	franceses
3	3	0.04221675172448158	10121	3	4	franceses		NEU	7	españoles
4	4	0.03553617373108864	9224	3	4	franceses		NEU	6	alemanes
5	5	0.03550541028380394	6528	3	4	franceses		NEU	5	europeos
6	6	0.030767429620027542	19507	3	4	franceses		NEU	4	católicos
7	7	0.024117179214954376	11835	3	4	franceses		NEG	3	inmigrantes
8	8	0.020559286698698997	10148	3	4	franceses		NEU	2	judíos
9	9	0.018122805282473564	7393	3	4	franceses		NEU	1	refugiados
0	0	0.08681531250476837	10279	4	4	franceses		NEU	10	franceses
1	1	0.07655515521764755	8138	4	4	franceses		NEU	9	extranjeros
2	2	0.04272696003317833	24035	4	4	franceses		POS	8	bienvenidos
3	3	0.03789636120200157	10121	4	4	franceses		NEU	7	españoles
4	4	0.02915629744529724	19507	4	4	franceses		NEU	6	católicos
5	5	0.01849769428372383	13008	4	4	franceses		NEU	5	británicos
6	6	0.016234036535024643	6528	4	4	franceses		NEU	4	europeos
7	7	0.01480837818235159	7056	4	4	franceses		NEG	3	pobres
8	8	0.01270331721752882	15695	4	4	franceses		NEG	2	ingleses
9	9	0.011604554019868374	8217	4	4	franceses		POS	1	libres
0	0	0.09866727143526077	24035	5	4	franceses		POS	10	bienvenidos
1	1	0.07464335858821869	16556	5	4	franceses		NEU	9	famosos
2	2	0.0685606449842453	15439	5	4	franceses		NEU	8	turistas
