	index	score	token	sentence	model	dimension	pos_tag	sentiment	rsv	word
0	0	0.03191455081105232	20190	0	14	españoles		NEU	10	populares
1	1	0.026893848553299904	15020	0	14	españoles		NEU	9	sociales
2	2	0.02461186610162258	38150	0	14	españoles		NEU	8	católicos
3	3	0.01275111548602581	35514	0	14	españoles		NEU	7	cristianos
4	4	0.011086837388575077	19505	0	14	españoles		NEU	6	españoles
5	5	0.010078942403197289	74	0	14	españoles		NEG	5	]
6	6	0.010077024810016155	20422	0	14	españoles		NEU	4	oficiales
7	7	0.009748279117047787	24634	0	14	españoles		NEU	3	naturales
8	8	0.008609261363744736	22973	0	14	españoles		NEU	2	comunes
9	9	0.008359391242265701	31216	0	14	españoles		POS	1	tradicionales
0	0	0.051231179386377335	20190	1	14	españoles		NEU	10	populares
1	1	0.028868509456515312	15020	1	14	españoles		NEU	9	sociales
2	2	0.02706352062523365	38150	1	14	españoles		NEU	8	católicos
3	3	0.022277282550930977	19505	1	14	españoles		NEU	7	españoles
4	4	0.010634350590407848	22643	1	14	españoles		NEU	6	jóvenes
5	5	0.009426976554095745	35514	1	14	españoles		NEU	5	cristianos
6	6	0.009397408924996853	31216	1	14	españoles		NEU	4	tradicionales
7	7	0.008916808292269707	24634	1	14	españoles		NEU	3	naturales
8	8	0.008774025365710258	19311	1	14	españoles		NEU	2	mayores
9	9	0.008647921495139599	20477	1	14	españoles		NEU	1	blancos
0	0	0.10964560508728027	10319	2	14	españoles		NEG	10	unos
1	1	0.055562034249305725	8237	2	14	españoles		NEG	9	otros
2	2	0.05308976024389267	19505	2	14	españoles		NEG	8	españoles
3	3	0.052635736763477325	20749	2	14	españoles		NEG	7	pocos
4	4	0.04256998002529144	27056	2	14	españoles		NEG	6	mismos
5	5	0.03176680579781532	10415	2	14	españoles		NEG	5	ellos
6	6	0.028686383739113808	17094	2	14	españoles		NEG	4	amigos
7	7	0.027017507702112198	13535	2	14	españoles		NEG	3	hombres
8	8	0.014967430382966995	10220	2	14	españoles		NEG	2	uns
9	9	0.014578202739357948	44918	2	14	españoles		NEU	1	suyos
0	0	0.03606361150741577	38836	3	14	españoles		NEU	10	rurales
1	1	0.03343329206109047	38150	3	14	españoles		NEU	9	católicos
2	2	0.025520404800772667	15020	3	14	españoles		NEU	8	sociales
3	3	0.02016892284154892	32412	3	14	españoles		NEG	7	pobres
4	4	0.01906556263566017	45270	3	14	españoles		NEG	6	inmigrantes
