	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.057243913412094116	10235	0	19	españoles	AQ	10	blancos
1	1	0.024773498997092247	15797	0	19	españoles	AQ	9	conocidos
2	2	0.024234138429164886	10190	0	19	españoles	AQ	8	oficiales
3	3	0.021358545869588852	16792	0	19	españoles	AQ	7	negros
4	4	0.019427111372351646	10418	0	19	españoles	PI	6	pocos
5	5	0.01669536717236042	15014	0	19	españoles	AQ	5	hispanos
6	6	0.014364002272486687	16221	0	19	españoles	AQ	4	reales
7	7	0.013013721443712711	9267	0	19	españoles	PN	3	diez
8	8	0.012673516757786274	2879	0	19	españoles	DN	2	cinco
9	9	0.012332040816545486	117	0	19	españoles	AQ	1	»
0	0	0.052574239671230316	15797	1	19	españoles	AQ	10	conocidos
1	1	0.040459346026182175	17719	1	19	españoles	AQ	9	pobres
2	2	0.03745676949620247	16737	1	19	españoles	AQ	8	famosos
3	3	0.03428678214550018	10235	1	19	españoles	AQ	7	blancos
4	4	0.030616650357842445	14472	1	19	españoles	NC	6	actores
5	5	0.03054671362042427	14478	1	19	españoles	AQ	5	adultos
6	6	0.030389703810214996	16792	1	19	españoles	AQ	4	negros
7	7	0.02058090828359127	10190	1	19	españoles	AQ	3	oficiales
8	8	0.01654941961169243	10418	1	19	españoles	PI	2	pocos
9	9	0.016529444605112076	5533	1	19	españoles	NC	1	hombres
0	0	0.41411808133125305	10418	2	19	españoles	PI	10	pocos
1	1	0.10924900323152542	5533	2	19	españoles	NC	9	hombres
2	2	0.01975627802312374	14443	2	19	españoles	PI	8	mismos
3	3	0.01893671229481697	13634	2	19	españoles	NC	7	vecinos
4	4	0.018444756045937538	7953	2	19	españoles	NC	6	amigos
5	5	0.011773534119129181	15797	2	19	españoles	AQ	5	conocidos
6	6	0.011435551568865776	16947	2	19	españoles	NC	4	ciudadanos
7	7	0.0109374038875103	6355	2	19	españoles	NC	3	dias
8	8	0.010389858856797218	8950	2	19	españoles	NC	2	personajes
9	9	0.009318518452346325	14472	2	19	españoles	NC	1	actores
0	0	0.15395613014698029	15014	3	19	españoles	AQ	10	hispanos
1	1	0.12064073234796524	10235	3	19	españoles	AQ	9	blancos
2	2	0.042734544724226	16748	3	19	españoles	AQ	8	portugueses
3	3	0.039405662566423416	16792	3	19	españoles	AQ	7	negros
4	4	0.03934972733259201	15284	3	19	españoles	AQ	6	alemanes
5	5	0.030751505866646767	15084	3	19	españoles	AQ	5	europeos
6	6	0.01823389157652855	17328	3	19	españoles	AQ	4	estadounidenses
7	7	0.017740556970238686	9804	3	19	españoles	AQ	3	1752
8	8	0.013169977813959122	17719	3	19	españoles	AQ	2	pobres
9	9	0.012796996161341667	10418	3	19	españoles	PI	1	pocos
0	0	0.08541625738143921	16947	4	19	españoles	NC	10	ciudadanos
1	1	0.07668714225292206	15014	4	19	españoles	AQ	9	hispanos
2	2	0.06303829699754715	10235	4	19	españoles	AQ	8	blancos
3	3	0.04401874169707298	10190	4	19	españoles	AQ	7	oficiales
4	4	0.03947613760828972	17328	4	19	españoles	AQ	6	estadounidenses
5	5	0.02919412963092327	11195	4	19	españoles	AQ	5	nacionales
6	6	0.02827330306172371	16748	4	19	españoles	AQ	4	portugueses
7	7	0.025518354028463364	16792	4	19	españoles	AQ	3	negros
8	8	0.024005195125937462	15284	4	19	españoles	AQ	2	alemanes
