	index	score	token	sentence	model	dimension	pos_tag	sentiment	rsv	word
0	0	0.052634306252002716	7817	0	0	negros		NEG	10	malos
1	1	0.048064641654491425	5251	0	0	negros		POS	9	buenos
2	2	0.04682432487607002	1938	0	0	negros		POS	8	mejores
3	3	0.03231477737426758	11864	0	0	negros		NEG	7	peores
4	4	0.022001851350069046	13228	0	0	negros		NEU	6	negros
5	5	0.017547277733683586	18293	0	0	negros		NEG	5	peligrosos
6	6	0.01675405725836754	28172	0	0	negros		POS	4	geniales
7	7	0.01578192040324211	10940	0	0	negros		NEG	3	iguales
8	8	0.015705926343798637	24579	0	0	negros		NEG	2	tontos
9	9	0.015094930306077003	28061	0	0	negros		POS	1	maravillosos
0	0	0.05352230742573738	5251	1	0	negros		POS	10	buenos
1	1	0.04454617202281952	1938	1	0	negros		POS	9	mejores
2	2	0.040228765457868576	7817	1	0	negros		NEG	8	malos
3	3	0.03338448330760002	18293	1	0	negros		NEG	7	peligrosos
4	4	0.025141023099422455	13012	1	0	negros		POS	6	felices
5	5	0.02168288081884384	10782	1	0	negros		POS	5	ricos
6	6	0.01871473342180252	11864	1	0	negros		NEG	4	peores
7	7	0.01828933320939541	10940	1	0	negros		NEU	3	iguales
8	8	0.015534336678683758	48316	1	0	negros		NEG	2	idiotas
9	9	0.015170909464359283	20782	1	0	negros		NEG	1	asesinos
0	0	0.06743758171796799	32228	2	0	negros		NEG	10	cerdos
1	1	0.05974632874131203	21405	2	0	negros		NEG	9	ladrones
2	2	0.04304942861199379	20782	2	0	negros		NEG	8	asesinos
3	3	0.028333302587270737	21815	2	0	negros		NEG	7	criminales
4	4	0.028301622718572617	45220	2	0	negros		NEG	6	ignorantes
5	5	0.027455372735857964	16111	2	0	negros		NEG	5	santos
6	6	0.02610059082508087	36396	2	0	negros		NEG	4	gilipollas
7	7	0.02579188346862793	48316	2	0	negros		NEG	3	idiotas
8	8	0.02534126490354538	7817	2	0	negros		NEG	2	malos
9	9	0.023163504898548126	5442	2	0	negros		NEU	1	artistas
0	0	0.0682407021522522	26014	3	0	negros		NEG	10	racistas
1	1	0.042689770460128784	40224	3	0	negros		POS	9	bienvenidos
2	2	0.03284415230154991	25396	3	0	negros		NEG	8	esclavos
3	3	0.029389705508947372	21815	3	0	negros		NEG	7	criminales
4	4	0.028850186616182327	7817	3	0	negros		NEG	6	malos
5	5	0.025756090879440308	18293	3	0	negros		NEG	5	peligrosos
6	6	0.02522672526538372	10782	3	0	negros		POS	4	ricos
7	7	0.022498920559883118	7481	3	0	negros		NEG	3	inmigrantes
8	8	0.020163441076874733	12750	3	0	negros		NEG	2	ilegales
9	9	0.019847579300403595	11864	3	0	negros		NEG	1	peores
0	0	0.0387437641620636	13228	4	0	negros		NEU	10	negros
1	1	0.03637724369764328	25396	4	0	negros		NEG	9	esclavos
2	2	0.027374451979994774	18293	4	0	negros		NEG	8	peligrosos
3	3	0.024235518649220467	21815	4	0	negros		NEG	7	criminales
4	4	0.022190293297171593	10940	4	0	negros		NEU	6	iguales
5	5	0.02213035710155964	24579	4	0	negros		NEG	5	tontos
6	6	0.019793039187788963	13012	4	0	negros		POS	4	felices
7	7	0.01893390156328678	48316	4	0	negros		NEG	3	idiotas
8	8	0.017390621826052666	7817	4	0	negros		NEG	2	malos
9	9	0.017252851277589798	11864	4	0	negros		NEG	1	peores
0	0	0.04441259801387787	40224	5	0	negros		POS	10	bienvenidos
1	1	0.033030930906534195	10782	5	0	negros		POS	9	ricos
2	2	0.03135017678141594	11864	5	0	negros		NEG	8	peores
3	3	0.027485288679599762	18293	5	0	negros		NEG	7	peligrosos
4	4	0.02243898995220661	5251	5	0	negros		POS	6	buenos
5	5	0.021656081080436707	7817	5	0	negros		NEG	5	malos
6	6	0.021089274436235428	24579	5	0	negros		NEG	4	tontos
7	7	0.020456338301301003	1938	5	0	negros		POS	3	mejores
8	8	0.01914503611624241	13012	5	0	negros		POS	2	felices
9	9	0.018919145688414574	36396	5	0	negros		NEG	1	gilipollas
0	0	0.3235229253768921	10940	6	0	negros		NEG	10	iguales
1	1	0.20134064555168152	13228	6	0	negros		NEG	9	negros
2	2	0.04854026809334755	11941	6	0	negros		NEU	8	blancos
3	3	0.035989318042993546	5251	6	0	negros		POS	7	buenos
4	4	0.021771805360913277	7817	6	0	negros		NEG	6	malos
5	5	0.011988210491836071	13012	6	0	negros		POS	5	felices
6	6	0.011842861771583557	40224	6	0	negros		POS	4	bienvenidos
7	7	0.009705382399260998	10782	6	0	negros		NEU	3	ricos
8	8	0.0065998355858027935	16098	6	0	negros		NEG	2	rojos
9	9	0.006445066072046757	1808	6	0	negros		NEG	1	igual
0	0	0.08964717388153076	18293	7	0	negros		NEG	10	peligrosos
1	1	0.05930732190608978	6500	7	0	negros		NEG	9	afectados
